view_date, dashboard_name , total_view_count_per_day
2020-11-15,marketing-overview,2
2020-11-21,sales-comparison,38
2020-12-24,value-returned,1
2020-11-15,revenue-factura,8
2020-10-25,sales-trend,1
2020-11-18,marketing-affiliate-scorecard,1
2020-12-18,user-stats,1
2020-10-10,marketing-overview,1
2020-12-28,sales-trend,3
2020-11-29,weekly-sales-comparison,22
2020-11-09,shop-performance-overview,1
2020-11-21,shop-performance-overview,1
2020-12-29,delivery-quotes,1
2020-10-27,value-returned,1
2020-11-01,marketing-overview,2
2020-11-07,revenue-factura,4
2020-10-03,revenue-factura,1
2020-12-29,value-returned,1
2020-11-07,delivery-quotes,1
2020-11-21,marketing-overview,2
2020-10-10,revenue-factura,1
2020-10-03,sales-trend,1
2020-10-03,weekly-sales-comparison,3
2020-12-29,process-time,1
2020-11-15,value-returned,1
2020-11-07,shipment-parcels,5
2020-12-31,weekly-sales-comparison,6
2020-11-07,sales-trend,1
2020-10-11,delivery-quotes,1
2020-10-11,revenue-factura,1
2020-12-10,shipment-orders,1
2020-12-13,weekly-sales-comparison,14
2020-11-26,process-time,1
2020-11-26,value-returned,1
2020-10-11,shipment-parcels,1
2020-10-18,marketing-overview,2
2020-11-08,value-returned,1
2020-11-29,revenue-factura,5
2020-11-08,revenue-factura,3
2020-11-29,shipment-parcels,3
2020-11-15,marketing-cost,1
2020-11-29,marketing-overview,7
2020-12-05,weekly-sales-comparison,7
2020-11-08,shipment-parcels,1
2020-10-04,marketing-overview,5
2020-11-29,shipment-orders,2
2020-11-22,shipment-parcels,2
2020-10-17,revenue-factura,2
2020-11-22,revenue-factura,4
2020-12-05,marketing-overview,5
2020-10-18,weekly-sales-comparison,8
2020-12-21,marketing-affiliate-scorecard,1
2020-12-06,marketing-overview,1
2020-12-06,weekly-sales-comparison,7
2020-11-28,revenue-factura,1
2020-10-25,marketing-overview,2
2020-10-10,sales-trend,1
2020-11-22,process-time,1
2020-12-26,sales-comparison,8
2020-12-26,marketing-overview,2
