view_date,dashboard_name, total_view_count_per_day
2020-10-15,marketing-overview,41
2020-07-28,sales-trend,3
2020-10-02,sales-comparison,251
2020-05-07,revenue-factura-before-returs,3
2020-01-29,marketing-overview,19
2020-10-07,marketing-overview,36
2019-07-03,weekly-overview,2
2020-05-07,revenue-factura,5
2019-11-06,weekly-sales-comparison,11
2020-09-14,delivery-quotes,2
2020-06-24,marketing-affiliate-scorecard,2
2020-10-27,sales-trend,3
2020-11-26,marketing-cost,1
2020-11-04,sales-comparison,315
2020-10-15,weekly-sales-comparison,48
2020-03-23,sales-trend,3
2020-10-15,shipment-parcels,8
2020-10-27,weekly-sales-comparison,51
2019-07-03,process-time,6
2020-10-27,revenue-factura,24
2020-03-20,shipment-parcels,5
2020-10-02,shipment-parcels,3
2019-08-14,sales-comparison,130
2020-10-07,marketing-cost,1
2020-09-14,marketing-overview,28
2020-05-07,value-returned,2
2020-03-23,revenue-factura,9
